Fecha,TRM,TRM_MA_30,TRM_MA_90
1992-05-19,663.75,656.0543333333333,646.6357777777778
1992-05-20,664.5,656.272,646.9643333333333
1992-05-21,663.1,656.5313333333335,647.2953333333334
1992-05-22,662.6,656.8656666666667,647.6238888888889
1992-05-23,662.11,657.2199999999999,647.947
1992-05-24,662.11,657.6156666666667,648.2701111111111
1992-05-25,662.11,657.974,648.5874444444445
1992-05-26,662.15,658.3336666666667,648.9031111111112
1992-05-27,660.46,658.6370000000001,649.1964444444444
1992-05-28,660.16,658.9653333333334,649.4881111111112
1992-05-29,660.99,659.2666666666667,649.7597777777778
1992-05-30,664.37,659.618,650.069
1992-05-31,664.37,659.9776666666668,650.3782222222222
1992-06-01,664.37,660.3373333333333,650.6384444444445
1992-06-02,664.37,660.697,650.9531111111111
1992-06-03,666.11,661.1146666666666,651.2892222222222
1992-06-04,664.3,661.4879999999999,651.5955555555556
1992-06-05,666.47,661.9136666666667,651.9316666666667
1992-06-06,664.36,662.2343333333333,652.2443333333333
1992-06-07,664.36,662.4996666666667,652.557
1992-06-08,664.36,662.7146666666667,652.8734444444444
1992-06-09,665.91,662.9813333333334,653.1637777777778
1992-06-10,665.92,663.2483333333333,653.4586666666667
1992-06-11,667.96,663.563,653.755
1992-06-12,667.52,663.7946666666667,654.0385555555556
1992-06-13,669.55,664.0836666666667,654.3446666666666
1992-06-14,669.55,664.2876666666667,654.6507777777778
1992-06-15,669.55,664.4866666666668,654.9332222222222
1992-06-16,671.36,664.746,655.2391111111111
1992-06-17,675.76,665.152,655.6076666666667
1992-06-18,680.17,665.6993333333335,656.037
1992-06-19,678.25,666.1576666666667,656.4578888888889
1992-06-20,683.37,666.8333333333334,656.9356666666666
1992-06-21,683.37,667.5256666666667,657.4134444444445
1992-06-22,683.37,668.2343333333333,657.8912222222223
1992-06-23,683.37,668.943,658.3508888888889
1992-06-24,690.08,669.8753333333333,658.8872222222222
1992-06-25,699.09,671.1066666666667,659.5302222222223
1992-06-26,701.83,672.4856666666667,660.1367777777779
1992-06-27,697.57,673.7326666666667,660.696
1992-06-28,697.57,674.952,661.2552222222222
1992-06-29,697.57,676.0586666666666,661.8772222222223
1992-06-30,697.57,677.1653333333333,662.4948888888889
1992-07-01,695.36,678.1983333333334,663.0528888888889
1992-07-02,694.43,679.2003333333334,663.6046666666666
1992-07-03,693.71,680.1203333333334,664.1668888888888
1992-07-04,693.4,681.0903333333334,664.7256666666667
1992-07-05,693.4,681.9879999999999,665.2844444444445
1992-07-06,693.4,682.956,665.8141111111111
1992-07-07,696.12,684.0146666666666,666.3934444444445
1992-07-08,695.65,685.0576666666667,666.9605555555556
1992-07-09,699.01,686.161,667.5440000000001
1992-07-10,703.74,687.4216666666667,668.1713333333333
1992-07-11,708.72,688.7803333333334,668.854
1992-07-12,708.72,690.1536666666667,669.5366666666667
1992-07-13,708.72,691.4593333333335,670.194888888889
1992-07-14,720.47,693.1566666666665,670.915
1992-07-15,719.15,694.81,671.5947777777777
1992-07-16,717.45,696.3463333333333,672.2556666666666
1992-07-17,717.7,697.7443333333334,672.9193333333334
1992-07-18,715.11,698.909,673.5542222222223
1992-07-19,715.11,700.1376666666666,674.1891111111112
1992-07-20,715.11,701.1956666666666,674.8534444444444
1992-07-21,715.11,702.2536666666667,675.5483333333334
1992-07-22,710.91,703.1716666666667,676.2086666666667
1992-07-23,707.96,703.9913333333333,676.85
1992-07-24,699.73,704.313,677.3874444444444
1992-07-25,699.68,704.3326666666667,677.9243333333334
1992-07-26,699.68,704.261,678.4612222222222
1992-07-27,699.68,704.3313333333333,679.0097777777778
1992-07-28,701.66,704.4676666666667,679.5621111111111
1992-07-29,701.89,704.6116666666666,680.0961111111111
1992-07-30,702.02,704.76,680.6343333333334
1992-07-31,705.14,705.0859999999999,681.2072222222222
1992-08-01,702.52,705.3556666666666,681.751
1992-08-02,702.52,705.6493333333333,682.2947777777779
1992-08-03,702.52,705.9533333333333,682.8438888888888
1992-08-04,701.82,706.234,683.3785555555555
